601,Cliffhanger,255.0,1993
477,Close Encounters of the Third Kind,306.9,1977
643,Cloudy with a Chance of Meatballs,243.0,2009
550,Cloudy with a Chance of Meatballs 2,274.3,2013
977,Cloverfield,172.4,2008
986,Cocktail,171.5,1988
87,Coco,807.1,2017
973,Cold Mountain,173.0,2003
721,Collateral,220.9,2004
524,Coming to America,288.8,1988
710,Con Air,224.0,1997
682,Constantine,230.9,2005
989,Contact,171.1,1997
979,Couples Retreat,171.8,2009
958,Cowboys & Aliens,174.8,2011
435,Crazy Alien,327.6,2019
656,Crazy Rich Asians,238.5,2018
969,Creed,173.6,2015
752,Creed II,214.2,2018
433,Crocodile Dundee,328.2,1986
654,Crocodile Dundee II,239.6,1988
759,Crouching Tiger Hidden Dragon,213.5,2000
645,Daddy's Home,242.8,2015
918,Daddy's Home 2,180.6,2017
283,Dances with Wolves,424.2,1990
485,Dangal,303.7,2016
922,Dangerous Minds,179.5,1995
933,Dante's Peak,178.1,1997
926,Daredevil,179.2,2003
632,Dark Shadows,245.5,2012
119,Dawn of the Planet of the Apes,710.6,2014
666,Dead Poets Society,235.9,1988
98,Deadpool,782.6,2016
97,Deadpool 2,785.8,2018
396,Deep Impact,349.5,1998
919,Deja Vu,180.6,2006
190,Despicable Me,543.1,2010
49,Despicable Me 2,970.8,2013
39,Despicable Me 3,1034.8,2017
187,Detective Chinatown 2,544.2,2018
274,Die Another Day,432.0,2002
652,Die Hard 2,240.2,1990
356,Die Hard with a Vengeance,366.2,1995
394,Dinosaur,349.8,2000
734,Dirty Dancing,217.7,1987
757,Disclosure,214.0,1994
774,District 9,210.9,2009
523,Divergent,288.9,2014
282,Django Unchained,425.4,2012
513,Doctor Dolittle,294.5,1998
130,Doctor Strange,677.7,2016
693,Dolittle,227.9,2020
938,Double Jeopardy,177.8,1999
855,Downton Abbey,192.1,2019
954,Dr. Dolittle 2,176.1,2001
210,Dr. Seuss' The Grinch,511.6,2018
735,Dracula Untold,217.1,2014
771,Due Date,211.8,2010
622,Dumb and Dumber,247.3,1994
998,Dumb and Dumber To,169.8,2014
381,Dumbo,353.3,2019
201,Dunkirk,526.9,2017
253,Dying to Survive,451.2,2018
91,E.T. the Extra-Terrestrial,793.5,1982
929,Eagle Eye,178.8,2008
799,Eat Pray Love,204.6,2010
348,Edge of Tomorrow,370.5,2014
718,Elf,221.7,2003
533,Elysium,286.1,2013
412,Enchanted,340.5,2007
766,End of Days,212.0,1999
613,Enemy of the State,250.8,1998
764,Entrapment,212.4,1999
564,Epic,268.4,2013
615,Eragon,250.4,2006
647,Eraser,242.3,1996
595,Erin Brockovich,256.3,2000
961,Evan Almighty,174.4,2007
804,Everest,203.4,2015
565,Exodus Gods and Kings,268.2,2014
630,Face/Off,245.7,1997
716,Fahrenheit 9/11,222.4,2004
491,Fantastic 4 Rise of the Silver Surfer,301.9,2007
85,Fantastic Beasts and Where to Find Them,814.0,2016
